agrovet_name,region,specialty,phone,email,statement,image_path
FarmEnterprises (Ochieng),Kitui,vaccines,+25410406937,farmenterp_kitui@agrovet.co.ke,"FarmEnterprises (Ochieng), located in Kitui County, specializes in vaccines. Contact: +25410406937, Email: farmenterp_kitui@agrovet.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kitui\FarmEnterprises_(Ochieng)_43.jpg
AgroServices (Moraa),Garissa,seed distribution,+25475816436,agroservic_garissa@agrovet.co.ke,"AgroServices (Moraa), located in Garissa County, specializes in seed distribution. Contact: +25475816436, Email: agroservic_garissa@agrovet.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Garissa\AgroServices_(Moraa)_44.jpg
BioFarmers Ltd (Maina),Busia,dairy equipment,+25414814620,biofarmers_busia@agrovet.co.ke,"BioFarmers Ltd (Maina), located in Busia County, specializes in dairy equipment. Contact: +25414814620, Email: biofarmers_busia@agrovet.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Busia\BioFarmers_Ltd_(Maina)_45.jpg
VetMart (Koech),Kakamega,livestock feeds,+254110191249,vetmartkoe_kakamega@outlook.com,"VetMart (Koech), located in Kakamega County, specializes in livestock feeds. Contact: +254110191249, Email: vetmartkoe_kakamega@outlook.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kakamega\VetMart_(Koech)_46.jpg
PrimeDepot (Chebet),Uasin Gishu,farm machinery,+25417076565,primedepot_uasingishu@yahoo.com,"PrimeDepot (Chebet), located in Uasin Gishu County, specializes in farm machinery. Contact: +25417076565, Email: primedepot_uasingishu@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Uasin Gishu\PrimeDepot_(Chebet)_47.jpg
AgroAgrovet (Njoroge),Kitui,veterinary medicine,+254112983136,agroagrove_kitui@agrovet.co.ke,"AgroAgrovet (Njoroge), located in Kitui County, specializes in veterinary medicine. Contact: +254112983136, Email: agroagrove_kitui@agrovet.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kitui\AgroAgrovet_(Njoroge)_48.jpg
FarmDepot (Omondi),Kajiado,animal health care,+25475087703,farmdepoto_kajiado@farmershub.co.ke,"FarmDepot (Omondi), located in Kajiado County, specializes in animal health care. Contact: +25475087703, Email: farmdepoto_kajiado@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kajiado\FarmDepot_(Omondi)_49.jpg
VetDepot (Otieno),Nyeri,farm machinery,+25412551662,vetdepotot_nyeri@farmershub.co.ke,"VetDepot (Otieno), located in Nyeri County, specializes in farm machinery. Contact: +25412551662, Email: vetdepotot_nyeri@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Nyeri\VetDepot_(Otieno)_50.jpg
LivestockDepot (Kiptoo),Migori,seed distribution,+25470026908,livestockd_migori@yahoo.com,"LivestockDepot (Kiptoo), located in Migori County, specializes in seed distribution. Contact: +25470026908, Email: livestockd_migori@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Migori\LivestockDepot_(Kiptoo)_51.jpg
AgriWorld (Maina),Busia,veterinary medicine,+25412654894,agriworldm_busia@farmershub.co.ke,"AgriWorld (Maina), located in Busia County, specializes in veterinary medicine. Contact: +25412654894, Email: agriworldm_busia@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Busia\AgriWorld_(Maina)_52.jpg
DairyServices (Kamau),Nakuru,dairy equipment,+25473156905,dairyservi_nakuru@gmail.com,"DairyServices (Kamau), located in Nakuru County, specializes in dairy equipment. Contact: +25473156905, Email: dairyservi_nakuru@gmail.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Nakuru\DairyServices_(Kamau)_53.jpg
CropDepot (Kimani),Siaya,poultry inputs,+254116549040,cropdepotk_siaya@outlook.com,"CropDepot (Kimani), located in Siaya County, specializes in poultry inputs. Contact: +254116549040, Email: cropdepotk_siaya@outlook.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Siaya\CropDepot_(Kimani)_54.jpg
VetShop (Cheruiyot),Kakamega,fertilizers,+25416535509,vetshopche_kakamega@farmershub.co.ke,"VetShop (Cheruiyot), located in Kakamega County, specializes in fertilizers. Contact: +25416535509, Email: vetshopche_kakamega@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kakamega\VetShop_(Cheruiyot)_55.jpg
AgroFarmers Ltd (Kilonzo),Siaya,fish farming supplies,+25479354278,agrofarmer_siaya@farmershub.co.ke,"AgroFarmers Ltd (Kilonzo), located in Siaya County, specializes in fish farming supplies. Contact: +25479354278, Email: agrofarmer_siaya@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Siaya\AgroFarmers_Ltd_(Kilonzo)_56.jpg
AgriShop (Omondi),Kisumu,seed distribution,+254115809928,agrishopom_kisumu@farmershub.co.ke,"AgriShop (Omondi), located in Kisumu County, specializes in seed distribution. Contact: +254115809928, Email: agrishopom_kisumu@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kisumu\AgriShop_(Omondi)_57.jpg
CropStores (Otieno),Homa Bay,seed distribution,+25479621623,cropstores_homabay@gmail.com,"CropStores (Otieno), located in Homa Bay County, specializes in seed distribution. Contact: +25479621623, Email: cropstores_homabay@gmail.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Homa Bay\CropStores_(Otieno)_58.jpg
HarvestCenter (Njeri),Kajiado,livestock feeds,+25478981671,harvestcen_kajiado@farmershub.co.ke,"HarvestCenter (Njeri), located in Kajiado County, specializes in livestock feeds. Contact: +25478981671, Email: harvestcen_kajiado@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kajiado\HarvestCenter_(Njeri)_59.jpg
AgriAgency (Chebet),Kitale,veterinary medicine,+25477625669,agriagency_kitale@gmail.com,"AgriAgency (Chebet), located in Kitale County, specializes in veterinary medicine. Contact: +25477625669, Email: agriagency_kitale@gmail.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kitale\AgriAgency_(Chebet)_60.jpg
AgroDepot (Njeri),Busia,livestock feeds,+25414952016,agrodepotn_busia@farmershub.co.ke,"AgroDepot (Njeri), located in Busia County, specializes in livestock feeds. Contact: +25414952016, Email: agrodepotn_busia@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Busia\AgroDepot_(Njeri)_61.jpg
GreenStores (Achieng),Kitale,fish farming supplies,+25417964011,greenstore_kitale@outlook.com,"GreenStores (Achieng), located in Kitale County, specializes in fish farming supplies. Contact: +25417964011, Email: greenstore_kitale@outlook.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kitale\GreenStores_(Achieng)_62.jpg
DairySuppliers (Njeri),Siaya,seed distribution,+25414020521,dairysuppl_siaya@agrovet.co.ke,"DairySuppliers (Njeri), located in Siaya County, specializes in seed distribution. Contact: +25414020521, Email: dairysuppl_siaya@agrovet.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Siaya\DairySuppliers_(Njeri)_63.jpg
LivestockMart (Okello),Naivasha,livestock feeds,+254115222689,livestockm_naivasha@gmail.com,"LivestockMart (Okello), located in Naivasha County, specializes in livestock feeds. Contact: +254115222689, Email: livestockm_naivasha@gmail.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Naivasha\LivestockMart_(Okello)_64.jpg
DairyFarmers Ltd (Cheruiyot),Siaya,poultry inputs,+25477529735,dairyfarme_siaya@outlook.com,"DairyFarmers Ltd (Cheruiyot), located in Siaya County, specializes in poultry inputs. Contact: +25477529735, Email: dairyfarme_siaya@outlook.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Siaya\DairyFarmers_Ltd_(Cheruiyot)_65.jpg
CropShop (Moraa),Busia,farm machinery,+25477453855,cropshopmo_busia@yahoo.com,"CropShop (Moraa), located in Busia County, specializes in farm machinery. Contact: +25477453855, Email: cropshopmo_busia@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Busia\CropShop_(Moraa)_66.jpg
BioSuppliers (Ochieng),Migori,vaccines,+25411924087,biosupplie_migori@outlook.com,"BioSuppliers (Ochieng), located in Migori County, specializes in vaccines. Contact: +25411924087, Email: biosupplie_migori@outlook.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Migori\BioSuppliers_(Ochieng)_67.jpg
AgriWorld (Wanjiku),Busia,fertilizers,+25472473432,agriworldw_busia@yahoo.com,"AgriWorld (Wanjiku), located in Busia County, specializes in fertilizers. Contact: +25472473432, Email: agriworldw_busia@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Busia\AgriWorld_(Wanjiku)_68.jpg
BioStores (Koech),Uasin Gishu,vaccines,+254119309979,biostoresk_uasingishu@outlook.com,"BioStores (Koech), located in Uasin Gishu County, specializes in vaccines. Contact: +254119309979, Email: biostoresk_uasingishu@outlook.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Uasin Gishu\BioStores_(Koech)_69.jpg
VetHub (Mutiso),Nairobi,fertilizers,+254111645902,vethubmuti_nairobi@agrovet.co.ke,"VetHub (Mutiso), located in Nairobi County, specializes in fertilizers. Contact: +254111645902, Email: vethubmuti_nairobi@agrovet.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Nairobi\VetHub_(Mutiso)_70.jpg
RuralEnterprises (Njeri),Uasin Gishu,livestock feeds,+25474873537,ruralenter_uasingishu@agrovet.co.ke,"RuralEnterprises (Njeri), located in Uasin Gishu County, specializes in livestock feeds. Contact: +25474873537, Email: ruralenter_uasingishu@agrovet.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Uasin Gishu\RuralEnterprises_(Njeri)_71.jpg
LivestockSuppliers (Chebet),Nairobi,beekeeping tools,+254117234414,livestocks_nairobi@farmershub.co.ke,"LivestockSuppliers (Chebet), located in Nairobi County, specializes in beekeeping tools. Contact: +254117234414, Email: livestocks_nairobi@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Nairobi\LivestockSuppliers_(Chebet)_72.jpg
PrimeAgency (Kilonzo),Migori,fertilizers,+254117182355,primeagenc_migori@yahoo.com,"PrimeAgency (Kilonzo), located in Migori County, specializes in fertilizers. Contact: +254117182355, Email: primeagenc_migori@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Migori\PrimeAgency_(Kilonzo)_73.jpg
GreenDepot (Njeri),Meru,animal health care,+254112091282,greendepot_meru@yahoo.com,"GreenDepot (Njeri), located in Meru County, specializes in animal health care. Contact: +254112091282, Email: greendepot_meru@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Meru\GreenDepot_(Njeri)_74.jpg
LivestockSolutions (Mwangi),Uasin Gishu,veterinary medicine,+25419828817,livestocks_uasingishu@agrovet.co.ke,"LivestockSolutions (Mwangi), located in Uasin Gishu County, specializes in veterinary medicine. Contact: +25419828817, Email: livestocks_uasingishu@agrovet.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Uasin Gishu\LivestockSolutions_(Mwangi)_75.jpg
EcoEnterprises (Mutiso),Garissa,fertilizers,+25411953067,ecoenterpr_garissa@yahoo.com,"EcoEnterprises (Mutiso), located in Garissa County, specializes in fertilizers. Contact: +25411953067, Email: ecoenterpr_garissa@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Garissa\EcoEnterprises_(Mutiso)_76.jpg
FarmServices (Kamau),Kajiado,seed distribution,+254119507158,farmservic_kajiado@gmail.com,"FarmServices (Kamau), located in Kajiado County, specializes in seed distribution. Contact: +254119507158, Email: farmservic_kajiado@gmail.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kajiado\FarmServices_(Kamau)_77.jpg
VetDistributors (Moraa),Eldoret,fertilizers,+25419575195,vetdistrib_eldoret@agrovet.co.ke,"VetDistributors (Moraa), located in Eldoret County, specializes in fertilizers. Contact: +25419575195, Email: vetdistrib_eldoret@agrovet.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Eldoret\VetDistributors_(Moraa)_78.jpg
