agrovet_name,region,specialty,phone,email,statement,image_path,region_encoded,specialty_encoded,phone_numeric,phone_scaled
AgroHub (Cheruiyot),Isiolo,animal health care,25414451967,agrohubche_isiolo@gmail.com,"AgroHub (Cheruiyot), located in Isiolo County, specializes in animal health care. Contact: +25414451967, Email: agrohubche_isiolo@gmail.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Isiolo\AgroHub_(Cheruiyot)_8328.jpg,4,0,25414451967,-0.7067087820853002
ProAgrovet (Mutiso),Nairobi,veterinary medicine,25473353713,proagrovet_nairobi@outlook.com,"ProAgrovet (Mutiso), located in Nairobi County, specializes in veterinary medicine. Contact: +25473353713, Email: proagrovet_nairobi@outlook.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Nairobi\ProAgrovet_(Mutiso)_7231.jpg,14,11,25473353713,-0.7061621836604784
GreenAgency (Kamau),Nakuru,vaccines,254119377468,greenagenc_nakuru@agrovet.co.ke,"GreenAgency (Kamau), located in Nakuru County, specializes in vaccines. Contact: +254119377468, Email: greenagenc_nakuru@agrovet.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Nakuru\GreenAgency_(Kamau)_9265.jpg,16,10,254119377468,1.4156349601159735
LivestockAgency (Achieng),Mombasa,fertilizers,254119488077,livestocka_mombasa@agrovet.co.ke,"LivestockAgency (Achieng), located in Mombasa County, specializes in fertilizers. Contact: +254119488077, Email: livestocka_mombasa@agrovet.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Mombasa\LivestockAgency_(Achieng)_7939.jpg,13,5,254119488077,1.4156359865491317
AnimalFarmers Ltd (Cheruiyot),Meru,fertilizers,25418798184,animalfarm_meru@agrovet.co.ke,"AnimalFarmers Ltd (Cheruiyot), located in Meru County, specializes in fertilizers. Contact: +25418798184, Email: animalfarm_meru@agrovet.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Meru\AnimalFarmers_Ltd_(Cheruiyot)_6269.jpg,11,5,25418798184,-0.7066684499130395
CropFarmers Ltd (Maina),Eldoret,vaccines,25475460508,cropfarmer_eldoret@farmershub.co.ke,"CropFarmers Ltd (Maina), located in Eldoret County, specializes in vaccines. Contact: +25475460508, Email: cropfarmer_eldoret@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Eldoret\CropFarmers_Ltd_(Maina)_937.jpg,1,10,25475460508,-0.7061426329526196
AgroSuppliers (Kilonzo),Nairobi,farm machinery,25411553066,agrosuppli_nairobi@yahoo.com,"AgroSuppliers (Kilonzo), located in Nairobi County, specializes in farm machinery. Contact: +25411553066, Email: agrosuppli_nairobi@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Nairobi\AgroSuppliers_(Kilonzo)_3037.jpg,14,4,25411553066,-0.7067356834053445
GreenAgrovet (Kilonzo),Meru,fertilizers,25471992236,greenagrov_meru@yahoo.com,"GreenAgrovet (Kilonzo), located in Meru County, specializes in fertilizers. Contact: +25471992236, Email: greenagrov_meru@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Meru\GreenAgrovet_(Kilonzo)_2201.jpg,11,5,25471992236,-0.7061748179410248
HarvestAgrovet (Mwangi),Nairobi,poultry inputs,25476659664,harvestagr_nairobi@yahoo.com,"HarvestAgrovet (Mwangi), located in Nairobi County, specializes in poultry inputs. Contact: +25476659664, Email: harvestagr_nairobi@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Nairobi\HarvestAgrovet_(Mwangi)_838.jpg,14,8,25476659664,-0.706131504984007
LivestockDistributors (Mwangi),Uasin Gishu,poultry inputs,25417686461,livestockd_uasingishu@gmail.com,"LivestockDistributors (Mwangi), located in Uasin Gishu County, specializes in poultry inputs. Contact: +25417686461, Email: livestockd_uasingishu@gmail.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Uasin Gishu\LivestockDistributors_(Mwangi)_6001.jpg,19,8,25417686461,-0.7066787665179265
BioHub (Otieno),Kisumu,livestock feeds,254114942101,biohubotie_kisumu@farmershub.co.ke,"BioHub (Otieno), located in Kisumu County, specializes in livestock feeds. Contact: +254114942101, Email: biohubotie_kisumu@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kisumu\BioHub_(Otieno)_715.jpg,7,7,254114942101,1.415593800646512
GreenSuppliers (Kimani),Machakos,veterinary medicine,25471410253,greensuppl_machakos@gmail.com,"GreenSuppliers (Kimani), located in Machakos County, specializes in veterinary medicine. Contact: +25471410253, Email: greensuppl_machakos@gmail.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Machakos\GreenSuppliers_(Kimani)_6390.jpg,10,11,25471410253,-0.7061802186466519
AgroWorld (Mutiso),Kitale,fertilizers,25475106734,agroworldm_kitale@yahoo.com,"AgroWorld (Mutiso), located in Kitale County, specializes in fertilizers. Contact: +25475106734, Email: agroworldm_kitale@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kitale\AgroWorld_(Mutiso)_9385.jpg,8,5,25475106734,-0.7061459159166109
HarvestAgrovet (Kamau),Nyeri,beekeeping tools,25478275314,harvestagr_nyeri@farmershub.co.ke,"HarvestAgrovet (Kamau), located in Nyeri County, specializes in beekeeping tools. Contact: +25478275314, Email: harvestagr_nyeri@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Nyeri\HarvestAgrovet_(Kamau)_5700.jpg,17,1,25478275314,-0.706116512020215
BioWorld (Mwangi),Migori,dairy equipment,254111463523,bioworldmw_migori@gmail.com,"BioWorld (Mwangi), located in Migori County, specializes in dairy equipment. Contact: +254111463523, Email: bioworldmw_migori@gmail.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Migori\BioWorld_(Mwangi)_8502.jpg,12,3,254111463523,1.415561520020138
ProEnterprises (Otieno),Garissa,animal health care,25476485715,proenterpr_garissa@gmail.com,"ProEnterprises (Otieno), located in Garissa County, specializes in animal health care. Contact: +25476485715, Email: proenterpr_garissa@gmail.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Garissa\ProEnterprises_(Otieno)_972.jpg,2,0,25476485715,-0.7061331192018504
AgroHub (Moraa),Uasin Gishu,beekeeping tools,25410591242,agrohubmor_uasingishu@gmail.com,"AgroHub (Moraa), located in Uasin Gishu County, specializes in beekeeping tools. Contact: +25410591242, Email: agrohubmor_uasingishu@gmail.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Uasin Gishu\AgroHub_(Moraa)_9737.jpg,19,1,25410591242,-0.7067446089723958
AnimalSolutions (Kiptoo),Naivasha,animal health care,25415099890,animalsolu_naivasha@outlook.com,"AnimalSolutions (Kiptoo), located in Naivasha County, specializes in animal health care. Contact: +25415099890, Email: animalsolu_naivasha@outlook.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Naivasha\AnimalSolutions_(Kiptoo)_7717.jpg,15,0,25415099890,-0.7067027694674195
AnimalDistributors (Cheruiyot),Kitui,veterinary medicine,254117271306,animaldist_kitui@outlook.com,"AnimalDistributors (Cheruiyot), located in Kitui County, specializes in veterinary medicine. Contact: +254117271306, Email: animaldist_kitui@outlook.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kitui\AnimalDistributors_(Cheruiyot)_1715.jpg,9,11,254117271306,1.4156154152822495
AgriHub (Achieng),Kisumu,dairy equipment,25470201247,agrihubach_kisumu@farmershub.co.ke,"AgriHub (Achieng), located in Kisumu County, specializes in dairy equipment. Contact: +25470201247, Email: agrihubach_kisumu@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kisumu\AgriHub_(Achieng)_3255.jpg,7,3,25470201247,-0.7061914380216294
PrimeSolutions (Kamau),Nairobi,animal health care,25418599361,primesolut_nairobi@yahoo.com,"PrimeSolutions (Kamau), located in Nairobi County, specializes in animal health care. Contact: +25418599361, Email: primesolut_nairobi@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Nairobi\PrimeSolutions_(Kamau)_5635.jpg,14,0,25418599361,-0.7066702949574736
AgroDepot (Njoroge),Isiolo,livestock feeds,254118767970,agrodepotn_isiolo@gmail.com,"AgroDepot (Njoroge), located in Isiolo County, specializes in livestock feeds. Contact: +254118767970, Email: agrodepotn_isiolo@gmail.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Isiolo\AgroDepot_(Njoroge)_5128.jpg,4,7,254118767970,1.415629304075714
DairyStores (Kamau),Mombasa,vaccines,25415457337,dairystore_mombasa@agrovet.co.ke,"DairyStores (Kamau), located in Mombasa County, specializes in vaccines. Contact: +25415457337, Email: dairystore_mombasa@agrovet.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Mombasa\DairyStores_(Kamau)_2675.jpg,13,10,25415457337,-0.706699452418598
BioSuppliers (Moraa),Machakos,vaccines,25478946473,biosupplie_machakos@yahoo.com,"BioSuppliers (Moraa), located in Machakos County, specializes in vaccines. Contact: +25478946473, Email: biosupplie_machakos@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Machakos\BioSuppliers_(Moraa)_8679.jpg,10,10,25478946473,-0.7061102837761116
LivestockWorld (Omondi),Mombasa,animal health care,25417989088,livestockw_mombasa@yahoo.com,"LivestockWorld (Omondi), located in Mombasa County, specializes in animal health care. Contact: +25417989088, Email: livestockw_mombasa@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Mombasa\LivestockWorld_(Omondi)_6731.jpg,13,0,25417989088,-0.7066759581896045
RuralDepot (Maina),Nyeri,fish farming supplies,254114072551,ruraldepot_nyeri@agrovet.co.ke,"RuralDepot (Maina), located in Nyeri County, specializes in fish farming supplies. Contact: +254114072551, Email: ruraldepot_nyeri@agrovet.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Nyeri\RuralDepot_(Maina)_5224.jpg,17,6,254114072551,1.415585731366863
GreenDistributors (Njoroge),Busia,vaccines,254113071228,greendistr_busia@farmershub.co.ke,"GreenDistributors (Njoroge), located in Busia County, specializes in vaccines. Contact: +254113071228, Email: greendistr_busia@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Busia\GreenDistributors_(Njoroge)_9581.jpg,0,10,254113071228,1.4155764392556487
LivestockSolutions (Kimani),Siaya,poultry inputs,25472111847,livestocks_siaya@gmail.com,"LivestockSolutions (Kimani), located in Siaya County, specializes in poultry inputs. Contact: +25472111847, Email: livestocks_siaya@gmail.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Siaya\LivestockSolutions_(Kimani)_1083.jpg,18,8,25472111847,-0.7061737079708009
AgroServices (Njeri),Homa Bay,fish farming supplies,25479208603,agroservic_homabay@outlook.com,"AgroServices (Njeri), located in Homa Bay County, specializes in fish farming supplies. Contact: +25479208603, Email: agroservic_homabay@outlook.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Homa Bay\AgroServices_(Njeri)_246.jpg,3,6,25479208603,-0.7061078512532268
LivestockSuppliers (Njoroge),Kakamega,crop protection chemicals,25417688005,livestocks_kakamega@gmail.com,"LivestockSuppliers (Njoroge), located in Kakamega County, specializes in crop protection chemicals. Contact: +25417688005, Email: livestocks_kakamega@gmail.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kakamega\LivestockSuppliers_(Njoroge)_4692.jpg,6,2,25417688005,-0.7066787521898628
AnimalServices (Kamau),Nairobi,crop protection chemicals,25416661093,animalserv_nairobi@farmershub.co.ke,"AnimalServices (Kamau), located in Nairobi County, specializes in crop protection chemicals. Contact: +25416661093, Email: animalserv_nairobi@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Nairobi\AnimalServices_(Kamau)_1558.jpg,14,2,25416661093,-0.706688281762749
CropSolutions (Kilonzo),Kisumu,poultry inputs,25410195169,cropsoluti_kisumu@farmershub.co.ke,"CropSolutions (Kilonzo), located in Kisumu County, specializes in poultry inputs. Contact: +25410195169, Email: cropsoluti_kisumu@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kisumu\CropSolutions_(Kilonzo)_9231.jpg,7,8,25410195169,-0.7067482844640851
FarmSolutions (Barasa),Machakos,crop protection chemicals,25478399833,farmsoluti_machakos@agrovet.co.ke,"FarmSolutions (Barasa), located in Machakos County, specializes in crop protection chemicals. Contact: +25478399833, Email: farmsoluti_machakos@agrovet.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Machakos\FarmSolutions_(Barasa)_3035.jpg,10,2,25478399833,-0.7061153565045659
BioAgency (Otieno),Kajiado,seed distribution,25410968006,bioagencyo_kajiado@yahoo.com,"BioAgency (Otieno), located in Kajiado County, specializes in seed distribution. Contact: +25410968006, Email: bioagencyo_kajiado@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kajiado\BioAgency_(Otieno)_4475.jpg,5,9,25410968006,-0.7067411126650209
VetCenter (Moraa),Homa Bay,poultry inputs,25478516464,vetcenterm_homabay@farmershub.co.ke,"VetCenter (Moraa), located in Homa Bay County, specializes in poultry inputs. Contact: +25478516464, Email: vetcenterm_homabay@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Homa Bay\VetCenter_(Moraa)_3794.jpg,3,8,25478516464,-0.7061142741882475
PrimeStores (Achieng),Uasin Gishu,crop protection chemicals,25478989315,primestore_uasingishu@outlook.com,"PrimeStores (Achieng), located in Uasin Gishu County, specializes in crop protection chemicals. Contact: +25478989315, Email: primestore_uasingishu@outlook.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Uasin Gishu\PrimeStores_(Achieng)_345.jpg,19,2,25478989315,-0.7061098862094636
LivestockAgency (Omondi),Uasin Gishu,fish farming supplies,254117126889,livestocka_uasingishu@outlook.com,"LivestockAgency (Omondi), located in Uasin Gishu County, specializes in fish farming supplies. Contact: +254117126889, Email: livestocka_uasingishu@outlook.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Uasin Gishu\LivestockAgency_(Omondi)_5207.jpg,19,6,254117126889,1.4156140751164636
EcoFarmers Ltd (Omondi),Nairobi,seed distribution,25471507252,ecofarmers_nairobi@agrovet.co.ke,"EcoFarmers Ltd (Omondi), located in Nairobi County, specializes in seed distribution. Contact: +25471507252, Email: ecofarmers_nairobi@agrovet.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Nairobi\EcoFarmers_Ltd_(Omondi)_7626.jpg,14,9,25471507252,-0.7061793185120344
EcoServices (Njoroge),Meru,veterinary medicine,25476019346,ecoservice_meru@farmershub.co.ke,"EcoServices (Njoroge), located in Meru County, specializes in veterinary medicine. Contact: +25476019346, Email: ecoservice_meru@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Meru\EcoServices_(Njoroge)_2580.jpg,11,11,25476019346,-0.7061374470287503
DairyShop (Moraa),Nairobi,seed distribution,254113664898,dairyshopm_nairobi@outlook.com,"DairyShop (Moraa), located in Nairobi County, specializes in seed distribution. Contact: +254113664898, Email: dairyshopm_nairobi@outlook.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Nairobi\DairyShop_(Moraa)_2799.jpg,14,9,254113664898,1.4155819484146959
GreenStores (Otieno),Homa Bay,veterinary medicine,25477704850,greenstore_homabay@farmershub.co.ke,"GreenStores (Otieno), located in Homa Bay County, specializes in veterinary medicine. Contact: +25477704850, Email: greenstore_homabay@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Homa Bay\GreenStores_(Otieno)_718.jpg,3,11,25477704850,-0.7061218058314344
ProDepot (Okello),Machakos,vaccines,254114483850,prodepotok_machakos@gmail.com,"ProDepot (Okello), located in Machakos County, specializes in vaccines. Contact: +254114483850, Email: prodepotok_machakos@gmail.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Machakos\ProDepot_(Okello)_9450.jpg,10,10,254114483850,1.4155895481533047
HarvestDepot (Cheruiyot),Garissa,crop protection chemicals,25474747930,harvestdep_garissa@agrovet.co.ke,"HarvestDepot (Cheruiyot), located in Garissa County, specializes in crop protection chemicals. Contact: +25474747930, Email: harvestdep_garissa@agrovet.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Garissa\HarvestDepot_(Cheruiyot)_913.jpg,2,2,25474747930,-0.7061492455581672
VetCenter (Moraa),Migori,vaccines,25416922915,vetcenterm_migori@farmershub.co.ke,"VetCenter (Moraa), located in Migori County, specializes in vaccines. Contact: +25416922915, Email: vetcenterm_migori@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Migori\VetCenter_(Moraa)_7216.jpg,12,10,25416922915,-0.706685852098053
CropEnterprises (Mutiso),Nyeri,animal health care,25477662785,cropenterp_nyeri@gmail.com,"CropEnterprises (Mutiso), located in Nyeri County, specializes in animal health care. Contact: +25477662785, Email: cropenterp_nyeri@gmail.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Nyeri\CropEnterprises_(Mutiso)_4239.jpg,17,0,25477662785,-0.7061221961876514
GreenMart (Barasa),Mombasa,animal health care,25415064487,greenmartb_mombasa@yahoo.com,"GreenMart (Barasa), located in Mombasa County, specializes in animal health care. Contact: +25415064487, Email: greenmartb_mombasa@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Mombasa\GreenMart_(Barasa)_5914.jpg,13,0,25415064487,-0.7067030980013824
VetAgrovet (Wanjiku),Meru,poultry inputs,254115796208,vetagrovet_meru@yahoo.com,"VetAgrovet (Wanjiku), located in Meru County, specializes in poultry inputs. Contact: +254115796208, Email: vetagrovet_meru@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Meru\VetAgrovet_(Wanjiku)_8857.jpg,11,8,254115796208,1.415601726617685
RuralCenter (Kilonzo),Kisumu,dairy equipment,25471696530,ruralcente_kisumu@yahoo.com,"RuralCenter (Kilonzo), located in Kisumu County, specializes in dairy equipment. Contact: +25471696530, Email: ruralcente_kisumu@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kisumu\RuralCenter_(Kilonzo)_1491.jpg,7,3,25471696530,-0.7061775620436157
EcoDepot (Chebet),Nairobi,crop protection chemicals,25473464344,ecodepotch_nairobi@yahoo.com,"EcoDepot (Chebet), located in Nairobi County, specializes in crop protection chemicals. Contact: +25473464344, Email: ecodepotch_nairobi@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Nairobi\EcoDepot_(Chebet)_3234.jpg,14,2,25473464344,-0.7061611570231638
AgroMart (Maina),Siaya,vaccines,254111163060,agromartma_siaya@agrovet.co.ke,"AgroMart (Maina), located in Siaya County, specializes in vaccines. Contact: +254111163060, Email: agromartma_siaya@agrovet.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Siaya\AgroMart_(Maina)_4570.jpg,18,10,254111163060,1.4155587317733767
RuralWorld (Okello),Uasin Gishu,livestock feeds,254115952018,ruralworld_uasingishu@agrovet.co.ke,"RuralWorld (Okello), located in Uasin Gishu County, specializes in livestock feeds. Contact: +254115952018, Email: ruralworld_uasingishu@agrovet.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Uasin Gishu\RuralWorld_(Okello)_372.jpg,19,7,254115952018,1.4156031725086196
AgriFarmers Ltd (Mwangi),Isiolo,animal health care,25412934169,agrifarmer_isiolo@gmail.com,"AgriFarmers Ltd (Mwangi), located in Isiolo County, specializes in animal health care. Contact: +25412934169, Email: agrifarmer_isiolo@gmail.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Isiolo\AgriFarmers_Ltd_(Mwangi)_7223.jpg,4,0,25412934169,-0.7067228669987763
VetEnterprises (Kiptoo),Kajiado,fish farming supplies,25415847763,vetenterpr_kajiado@farmershub.co.ke,"VetEnterprises (Kiptoo), located in Kajiado County, specializes in fish farming supplies. Contact: +25415847763, Email: vetenterpr_kajiado@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kajiado\VetEnterprises_(Kiptoo)_4820.jpg,5,6,25415847763,-0.7066958293301311
RuralHub (Moraa),Kajiado,veterinary medicine,25479865515,ruralhubmo_kajiado@yahoo.com,"RuralHub (Moraa), located in Kajiado County, specializes in veterinary medicine. Contact: +25479865515, Email: ruralhubmo_kajiado@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kajiado\RuralHub_(Moraa)_2283.jpg,5,11,25479865515,-0.7061017552189183
HarvestHub (Cheruiyot),Migori,beekeeping tools,254117833067,harvesthub_migori@farmershub.co.ke,"HarvestHub (Cheruiyot), located in Migori County, specializes in beekeeping tools. Contact: +254117833067, Email: harvesthub_migori@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Migori\HarvestHub_(Cheruiyot)_8217.jpg,12,1,254117833067,1.4156206283310737
AgriMart (Kiptoo),Migori,livestock feeds,254118887261,agrimartki_migori@agrovet.co.ke,"AgriMart (Kiptoo), located in Migori County, specializes in livestock feeds. Contact: +254118887261, Email: agrimartki_migori@agrovet.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Migori\AgriMart_(Kiptoo)_2745.jpg,12,7,254118887261,1.4156304110763909
ProShop (Kiptoo),Uasin Gishu,crop protection chemicals,254119718629,proshopkip_uasingishu@gmail.com,"ProShop (Kiptoo), located in Uasin Gishu County, specializes in crop protection chemicals. Contact: +254119718629, Email: proshopkip_uasingishu@gmail.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Uasin Gishu\ProShop_(Kiptoo)_2867.jpg,19,2,254119718629,1.4156381260334185
CropWorld (Ochieng),Naivasha,veterinary medicine,254117338275,cropworldo_naivasha@yahoo.com,"CropWorld (Ochieng), located in Naivasha County, specializes in veterinary medicine. Contact: +254117338275, Email: cropworldo_naivasha@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Naivasha\CropWorld_(Ochieng)_3433.jpg,15,11,254117338275,1.4156160367434523
ProFarmers Ltd (Chebet),Nakuru,vaccines,254115513430,profarmers_nakuru@farmershub.co.ke,"ProFarmers Ltd (Chebet), located in Nakuru County, specializes in vaccines. Contact: +254115513430, Email: profarmers_nakuru@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Nakuru\ProFarmers_Ltd_(Chebet)_1748.jpg,16,10,254115513430,1.415599102484788
